sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
211,"2 -Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ","2-AMINO-3-HYDROXYPYRIDINE","16867-03-1","240-886-8","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0%","To be printed on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","2-Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ","","",09/09/2013
212,"2 -Methyl-1-naphthyl acetate","1-ACETOXY-2-METHYLNAPH-THALENE","5697-02-9","454-690-7","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0% (When both 2 -Methyl-1-Naphthol and 1-Acetoxy-2-Methylnaphthalene are present in a hair dye formulation, the maximum concentration on the head of 2-Methyl-1-Naphthol should not exceed 2,0%)","","658/2013/EU","","","","2-Methyl-1-naphthyl acetate","","",09/09/2013
213,"1 -Hydroxy-2-methylnaphthalene","2-METHYL-1-NAPHTHOL ","7469-77-4","231-265-2","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0% (When both 2 -Methyl-1-Naphthol and 1-Acetoxy-2-Methylnaphthalene are present in a hair dye formulation, the maximum concentration on the head of 2-Methyl-1-Naphthol should not exceed 2,0%).","To be printed on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","1-Hydroxy-2-methylnaphthalene","","",09/09/2013
214,"Disodium 5,7 -dinitro-8-oxido-2- naphthalenesulfonate CI 1036","ACID YELLOW 1","846-70-8","212-690-2","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 0,2%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0%","To be printed on the label: Hair colorants can cause severe allergic reactions","658/2013/EU","","","","Disodium 5,7-dinitro-8-oxido-2- naphthalenesulfonate  CI 1036","","",09/09/2013
215,"4 -Amino-3-nitrophenol ","4-AMINO-3-NITROPHENOL","610-81-1","210-236-8","(a) Hair dye substance in oxidative hair dye products (b)Hair dye substance in non -oxidative hair dye products ","(b) 1.0% ","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,5 %  ","(a) and (b) “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is  not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,EN L 114/40 OJ EU25.4.2013 — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ...","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1207/08-Opinion on 4-Amino-3-nitrophenol;0234/99-Opinion on 4-Amino-3-nitrophenol","","","",05/06/2014
216,"Naphthalene -2,7-diol","2,7-NAPHTHALENEDIOL","582-17-2","209-478-7","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non - oxidative hair dye products","(b) 1,0 %","a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1061/06-Opinion on 2,7-Naphthalenediol;1366/10-Opinion on 2,7-Naphthalenediol;0232/99-Opinion on 2,7-Naphthalenediol","","","",05/06/2014
217,"m -Aminophenol and its salts","M-AMINOPHENOL; M-AMINOPHENOL HCL; M-AMINOPHENOL SULFATE","591-27-5/ 51-81-0 / 68239-81-6 /38171-54-9","209-711-2 / 200-125-2 / 269-475-1","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes","","For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,2 % (b) For professional use only ","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy.Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.” (b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes,— has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.” ","(EC) No 1197/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0978/06-Opinion on m-Aminophenol;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;0231/99-Opinion on m-Aminophenol","","","",14/02/2014
218,"6 -Hydroxy-3,4- dimethyl-2-pyridone","2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE ","84540-47-6","283-141-2","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a tempor","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1034/06-Opinion on 2,6-Dihydroxy-3,4-dimethylpyridine;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;0229/99-Opinion on 2,6-Dihydroxy-3,4-dimethylpyridine","","","",05/06/2014
221,"2 -(4-Methyl-2-nitroanilino)ethanol ","HYDROXYETHYL-2-NITRO-P-TOLUIDINE","100418-33-5","408-090-7","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 1,0%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0% For  (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content 50 microgram/Kg - Keep in nitrite-free containers","To be printed on the label: Hair colorants can use severe allergic reactions","658/2013/EU","","","","2-(4-Methyl-2-nitroanilino)ethanol ","","",09/09/2013
221,"Hydroxyethyl -2-nitro-p-toluidine and its salts","HYDROXYETHYL-2-NITRO-P-TOLUIDINE","100418-33-5","408-090-7","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 1.0% ","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 % ","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. ","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0924/05-Opinion on Hydroxyethyl-2-nitro-p-toluidine;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;0183/99-Opinion on Hydroxyethyl-2-nitro-p-toluidine","","","",05/06/2014
222,"1 -Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene ","2-HYDROXYETHYL PICRAMIC ACID","99610-72-7","412-520-9","(a) Hair dye substance in oxidative hair day products  (b) Hair dye substance in non -oxidative hair day products  ","(b) 2.0% ","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,5% For (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/kg - Kep in nitrite-free containers","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1058/06-Opinion on 2-Hydroxyethyl picramic acid;1208/08-Opinion on 2-Hydroxyethyl picramic acid;0182/99-Opinion on 2-Hydroxyethyl picramic acid","","","Reprotoxic Cat. 2  ",05/06/2014
223,"4 -Methylaminophenol and its salts","P-METHYLAMINOPHENOL","150-75-4 - 55-55-0 - 1936-57-8","205-768-2 - 200-237-1 - 217-706-1","Hair dye in oxidative hair dye products","","Afther mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,68% (as sulphate)  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","Hair colourants can cause severe allergic reactions","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0963/05-Opinion on p-Methylaminophenol sulfate;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;0179/99-Opinion concerning p-Methylaminophenol","","P-METHYLAMINOPHENOL;P-METHYLAMINOPHENOL SULFATE","",30/05/2013
225,"1 -(beta-Hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene and its hydrocloride","HC BLUE NO. 12","104516-93-0 - 132885-85-9 ","407-020-2","(a) Hair dye substance in oxidative hair dye products (b)  Hair dye substance in non -oxidative hair dye products ","(b) 1.5% (as hydrocloride) ","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed  0.75% (as hydrochloride) For (a) and (b):  - Do not use with nitrosating agents -Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1135/07-Opinion on HC Blue No. 12;1209/08-Opinion on HC Blue No. 12;0140/99-Opinion on HC Blue No. 12","1-(beta-Hydroxyethyl)amino-2-nitro-4- N-ethyl-N-(.beta.- hydroxyethyl)aminobenzene and its hydrochloride","","",05/06/2014
227,"3 -Amino-2,4-dichlorophenol and its hydrochloride","3-AMINO-2,4-DICHLOROPHENOL","61693-42-3 - 1693-43-4","262-909-0","(a) Hair dye substance oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 1,5% (as hydrochloride)","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,5% (as hydrochloride)","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.  ","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1074/07-Opinion on 3-Amino-2,4-dichlorophenol hydrochloride;1205/08-Opinion on 3-Amino-2,4-dichlorophenol HCl;0135/99-Opinion on 3-Amino-2,4-dichlorophenol","","","",05/06/2014
